participant,condition,level,repetition,fa_main,rt_correct_key_s,rt_complete_s
P13,B,gamma,1,0.9666666666666667,0.9253555218378703,0.9314284735712511
P13,B,gamma,2,0.9666666666666667,0.9178832810500572,0.9178832810500572
P13,B,gamma,3,0.9333333333333333,0.8880976279576619,0.8966827051980155
P13,C,alpha,1,1.0,0.5725483735402425,0.5725483735402425
P13,C,alpha,2,1.0,0.6343267758687338,0.6343267758687338
P13,C,alpha,3,1.0,0.6086671272913615,0.6086671272913615
P13,C,beta,1,1.0,0.6385913372039795,0.6385913372039795
P13,C,beta,2,1.0,0.6039817174275716,0.6039817174275716
P13,C,beta,3,1.0,0.5893517255783081,0.5893517255783081
P13,C,gamma,1,0.9666666666666667,0.8710086981455485,0.8662047221742827
P13,C,gamma,2,1.0,0.70425918896993,0.70425918896993
P13,C,gamma,3,1.0,0.7048914511998494,0.7048914511998494
P14,B,alpha,1,0.9333333333333333,1.0559130589167276,1.0568509101867676
P14,B,alpha,2,1.0,0.8869989713033041,0.8869989713033041
P14,B,alpha,3,1.0,0.8049623012542725,0.8049623012542725
P14,B,beta,1,0.9,1.0947590986887614,1.111158847808838
P14,B,beta,2,0.9333333333333333,1.0340774615605672,1.0247641376086645
P14,B,beta,3,0.9666666666666667,0.9956801414489747,1.0002315044403076
P14,B,gamma,1,0.8666666666666667,1.135937057692429,1.1633165799654448
P14,B,gamma,2,1.0,1.079230785369873,1.079230785369873
P14,B,gamma,3,0.9666666666666667,1.032628051439921,1.0338135998824547
P14,C,alpha,1,1.0,1.1598053455352784,1.1598053455352784
P14,C,alpha,2,0.9333333333333333,0.8142231782277425,0.8190720421927316
P14,C,alpha,3,1.0,0.8131895939509074,0.8131895939509074
P14,C,beta,1,0.9,0.7563266595204671,0.7411630948384603
P14,C,beta,2,1.0,0.8255821228027344,0.8255821228027344
P14,C,beta,3,0.9333333333333333,0.7702977259953817,0.7757110255105155
P14,C,gamma,1,1.0,0.9712527434031168,0.9712527434031168
P14,C,gamma,2,0.9666666666666667,0.9241231362024943,0.9267977928293163
P14,C,gamma,3,1.0,0.7703465779622396,0.7703465779622396
P15,B,alpha,1,0.9333333333333333,1.0360914707183837,1.0619221840585982
P15,B,alpha,2,0.8666666666666667,0.8521201014518738,0.8466080793967614
P15,B,alpha,3,1.0,0.7730191389719645,0.7730191389719645
P15,B,beta,1,0.8666666666666667,1.0917073447128822,0.9918872393094577
P15,B,beta,2,0.9333333333333333,0.8818436861038208,0.9045413562229702
P15,B,beta,3,0.9666666666666667,0.7744071236972151,0.7744071236972151
P15,B,gamma,1,0.9333333333333333,0.959722352027893,0.9801579117774963
P15,B,gamma,2,0.9666666666666667,0.8651864528656006,0.8612615733311094
P15,B,gamma,3,1.0,0.9661079168319702,0.9661079168319702
P15,C,alpha,1,1.0,0.5575981299082439,0.5575981299082439
P15,C,alpha,2,0.9333333333333333,0.5339818080266316,0.5403865916388375
P15,C,alpha,3,1.0,0.5085165659586589,0.5085165659586589
P15,C,beta,1,1.0,0.6796900590260824,0.6796900590260824
P15,C,beta,2,0.9333333333333333,0.571529499689738,0.571652923311506
P15,C,beta,3,0.9666666666666667,0.5267803192138671,0.528160547388011
P15,C,gamma,1,0.9666666666666667,0.9262983957926433,0.9339163714441759
P15,C,gamma,2,1.0,0.720421306292216,0.720421306292216
P15,C,gamma,3,1.0,0.7029521624247234,0.7029521624247234
P16,B,alpha,1,0.9666666666666667,0.9720427751541137,0.9824708001366977
P16,B,alpha,2,0.8666666666666667,0.9865571101506551,0.9930526476639968
P16,B,alpha,3,1.0,0.9725027640660604,0.9725027640660604
P16,B,beta,1,0.9666666666666667,0.9778568903605144,0.9836012659401729
P16,B,beta,2,0.9333333333333333,0.9395636399586995,0.9429454377719334
P16,B,beta,3,1.0,0.9095617294311523,0.9095617294311523
P16,B,gamma,1,0.9,1.081916300455729,1.1083785869457103
P16,B,gamma,2,0.9666666666666667,1.04999844233195,1.0531343838264202
P16,B,gamma,3,0.9666666666666667,1.0237527211507162,1.0344832272365176
P16,C,alpha,1,1.0,0.7454773664474488,0.7454773664474488
P16,C,alpha,2,1.0,0.7119528373082479,0.7119528373082479
P16,C,alpha,3,1.0,0.7307517925898234,0.7307517925898234
P16,C,beta,1,1.0,1.1409130493799846,1.1409130493799846
P16,C,beta,2,0.9666666666666667,0.8598894826297102,0.8598894826297102
P16,C,beta,3,1.0,0.6541889429092407,0.6541889429092407
P16,C,gamma,1,0.9666666666666667,0.9263109914187727,0.9263109914187727
P16,C,gamma,2,1.0,0.7833853880564372,0.7833853880564372
P16,C,gamma,3,1.0,0.8322146574656168,0.8322146574656168
P17,B,alpha,1,0.9333333333333333,0.822895860671997,0.8113280619893756
P17,B,alpha,2,1.0,0.7855704148610433,0.7855704148610433
P17,B,alpha,3,1.0,0.6867471694946289,0.6867471694946289
P17,B,beta,1,1.0,0.8250378608703614,0.8250378608703614
P17,B,beta,2,1.0,0.7577375809351603,0.7577375809351603
P17,B,beta,3,1.0,0.7184631188710531,0.7184631188710531
P17,B,gamma,1,0.9333333333333333,1.4139074484507244,1.4290564826556615
P17,B,gamma,2,1.0,0.8849021434783936,0.8849021434783936
P17,B,gamma,3,0.9666666666666667,0.8214662869771322,0.8240891900555841
P17,C,alpha,1,1.0,0.6597365379333496,0.6597365379333496
P17,C,alpha,2,1.0,0.5796968777974446,0.5796968777974446
P17,C,alpha,3,1.0,0.5016322612762452,0.5016322612762452
P17,C,beta,1,0.9666666666666667,0.8467343012491862,0.8607018322780214
P17,C,beta,2,1.0,0.6799940506617228,0.6799940506617228
P17,C,beta,3,1.0,0.6605754772822062,0.6605754772822062
P17,C,gamma,1,1.0,0.7267679055531819,0.7267679055531819
P17,C,gamma,2,0.9333333333333333,0.6684524437476849,0.6735572729791913
P17,C,gamma,3,1.0,0.6144440968831381,0.6144440968831381
P18,B,alpha,1,0.9666666666666667,0.8774809837341309,0.8686353584815716
