participant,trial_index,level,a_occurrence,level_occurrence,n_target_events,n_resolved_responses,selection_coverage_pct,dominant_finger,dominant_share_pct,unique_fingers,effective_fingers,finger_switch_rate_pct,median_correct_key_rt_ms,key_accuracy_pct,n_effort_events,actual_key_travel_semitones,reference_key_travel_semitones,actual_finger_transition_steps,reference_finger_transition_steps,actual_hand_switch_pct,reference_hand_switch_pct
P08,11,alpha,4,1,30,30,100.0,R2,46.666666666666664,6,3.705022405515465,65.51724137931035,482.9519987106323,100.0,30,1.5714285714285714,1.5357142857142858,0.32142857142857145,1.0,48.275862068965516,34.48275862068966
P08,12,gamma,5,2,30,30,100.0,R2,40.0,6,4.7877899622970395,79.3103448275862,549.2465496063232,100.0,30,4.214285714285714,4.821428571428571,0.6785714285714286,1.9642857142857142,51.724137931034484,51.724137931034484
P08,14,alpha,6,2,30,30,100.0,R2,63.333333333333336,4,2.404203479123207,48.275862068965516,454.27405834198,100.0,30,1.8214285714285714,1.1428571428571428,0.10714285714285714,1.0,37.93103448275862,34.48275862068966
P08,16,gamma,7,3,30,30,100.0,L3,33.333333333333336,4,3.557736253983861,72.41379310344827,501.49548053741455,100.0,30,3.892857142857143,5.035714285714286,0.6071428571428571,2.25,51.724137931034484,51.724137931034484
P08,21,beta,8,3,30,30,100.0,L2,56.666666666666664,4,2.9417540889682003,37.93103448275862,444.11003589630127,100.0,30,2.8214285714285716,2.2142857142857144,0.2857142857142857,1.5357142857142858,13.793103448275861,48.275862068965516
P08,26,alpha,9,3,30,30,100.0,L2,50.0,2,2.0,44.827586206896555,427.7130365371704,100.0,30,2.0,1.4285714285714286,0.0,1.0,44.827586206896555,34.48275862068966
P09,5,gamma,1,1,30,30,100.0,R2,63.333333333333336,5,2.6694388552262014,48.275862068965516,467.5581455230713,100.0,30,4.714285714285714,4.892857142857143,0.10714285714285714,2.142857142857143,41.37931034482759,55.172413793103445
P09,10,gamma,2,2,30,30,100.0,R2,53.333333333333336,2,1.9955571994469739,58.620689655172406,403.3658504486084,96.66666666666667,29,3.6666666666666665,5.074074074074074,0.0,2.185185185185185,60.71428571428571,53.57142857142857
P09,12,gamma,3,3,30,30,100.0,L3,50.0,2,2.0,37.93103448275862,391.4980888366699,100.0,30,4.142857142857143,5.428571428571429,0.0,2.0,37.93103448275862,58.620689655172406
P09,14,beta,4,1,30,30,100.0,R2,63.333333333333336,5,2.6694388552262014,58.620689655172406,370.3244924545288,100.0,30,2.5714285714285716,2.892857142857143,0.14285714285714285,1.2142857142857142,48.275862068965516,48.275862068965516
P09,18,beta,5,2,30,30,100.0,R2,76.66666666666667,3,2.0190316307826808,31.03448275862069,402.2890329360962,100.0,30,2.7142857142857144,2.4642857142857144,0.03571428571428571,1.2142857142857142,27.586206896551722,48.275862068965516
P09,19,alpha,6,1,30,30,100.0,R2,80.0,2,1.6493848884661177,34.48275862068966,347.10025787353516,100.0,30,1.9285714285714286,1.2142857142857142,0.0,0.8571428571428571,34.48275862068966,31.03448275862069
P09,21,beta,7,3,30,30,100.0,R2,56.666666666666664,5,2.975263584164722,62.06896551724138,334.07390117645264,100.0,30,2.357142857142857,2.25,0.21428571428571427,1.25,48.275862068965516,41.37931034482759
P09,23,alpha,8,2,30,30,100.0,L3,53.333333333333336,5,3.2645646123604655,41.37931034482759,391.8529748916626,100.0,30,2.7142857142857144,1.5357142857142858,0.5,0.9642857142857143,3.4482758620689653,27.586206896551722
P09,27,alpha,9,3,30,30,100.0,R2,63.333333333333336,2,1.9293010006713525,34.48275862068966,324.63741302490234,100.0,30,1.7142857142857142,1.5357142857142858,0.0,1.0,34.48275862068966,34.48275862068966
P10,4,gamma,1,1,30,30,100.0,L3,33.333333333333336,7,5.09561188656628,75.86206896551724,483.33513736724854,100.0,30,4.75,5.107142857142857,1.0,1.9285714285714286,41.37931034482759,55.172413793103445
P10,6,beta,2,1,30,30,100.0,L2,66.66666666666667,3,2.365173523311059,27.586206896551722,417.9048538208008,96.66666666666667,29,2.925925925925926,2.1481481481481484,0.14814814814814814,1.5185185185185186,14.285714285714285,50.0
P10,18,alpha,3,1,30,30,100.0,R2,50.0,3,2.2605591494796706,37.93103448275862,360.637903213501,100.0,30,1.6071428571428572,1.6071428571428572,0.07142857142857142,1.0,31.03448275862069,31.03448275862069
P10,19,beta,4,2,30,30,100.0,R2,53.333333333333336,4,2.8936984026091066,58.620689655172406,347.15402126312256,100.0,30,2.2857142857142856,2.25,0.2857142857142857,1.25,34.48275862068966,41.37931034482759
P10,22,gamma,5,2,30,30,100.0,R2,40.0,5,3.935218735956549,82.75862068965517,436.13409996032715,96.66666666666667,29,4.62962962962963,5.518518518518518,0.6666666666666666,2.2962962962962963,67.85714285714286,50.0
